time, lead distance, setpoint, PV, integral, derivative, error
0.01, 0, 3, 600.121, 0.003, 3000, 3
0.02, 0.03, 3, 600.121, -5.37109, 0, -597.121
0.03, -5.94121, 3, 514.552, -10.4029, 0, -511.552
0.04, -11.9124, 3, 514.552, -15.0069, 0, -511.552
0.05, -17.0279, 3, 439.531, -19.0107, 0, -436.531
0.06, -22.1435, 3, 373.704, -23.1785, 0, -370.704
0.07, -26.5088, 3, 373.704, -26.1441, 0, -370.704
0.08, -30.2158, 3, 316.054, -29.4476, 0, -313.054
0.09, -33.9228, 3, 265.599, -32.1642, 0, -262.599
0.1, -37.0534, 3, 265.599, -34.5276, 0, -262.599
0.11, -39.6794, 3, 221.472, -36.8447, 0, -218.472
0.12, -42.3054, 3, 182.867, -38.7723, 38604.5, -179.867
0.13, -44.4901, 3, 182.867, -40.571, 0, -179.867
0.14, -46.2887, 3, 149.2, -41.9541, 0, -146.2
0.15, -48.0874, 3, 119.807, -43.2405, 29392.7, -116.807
0.16, -49.5494, 3, 119.807, -44.4086, 0, -116.807
0.17, -50.7175, 3, 94.2022, -45.3062, 0, -91.2022
0.18, -51.8856, 3, 71.9267, -46.1048, 22275.5, -68.9267
0.19, -52.7976, 3, 71.9267, -46.7251, 0, -68.9267
0.2, -53.4868, 3, 52.5768, -47.2681, 0, -49.5768
0.21, -54.1761, 3, 52.5768, -47.6647, 0, -49.5768
0.22, -54.6719, 3, 35.7833, -48.0261, 0, -32.7833
0.23, -55.1676, 3, 21.2491, -48.2775, 0, -18.2491
0.24, -55.4955, 3, 21.2491, -48.4418, 0, -18.2491
0.25, -55.678, 3, 8.69853, -48.5182, 0, -5.69853
0.26, -55.8605, 3, -2.11201, -48.5586, 10810.5, 5.11201
0.27, -55.9174, 3, -2.11201, -48.5126, 0, 5.11201
0.28, -55.8663, 3, -11.3937, -48.4295, 0, 14.3937
0.29, -55.8152, 3, -19.3357, -48.2856, 0, 14.3937
0.3, -55.6713, 3, -19.3357, -48.0845, 0, 22.3357
0.31, -55.4479, 3, -26.1033, -47.8564, 0, 29.1033
0.32, -55.2246, 3, -31.8419, -47.5654, 0, 29.1033
0.33, -54.9335, 3, -31.8419, -47.2518, 0, 34.8419
0.34, -54.5851, 3, -36.6796, -46.9189, 0, 39.6796
0.35, -54.2367, 3, -36.6796, -46.5618, 0, 39.6796
0.36, -53.8399, 3, -40.7289, -46.1723, 0, 43.7289
0.37, -53.4431, 3, -44.0801, -45.772, 0, 47.0801
0.38, -53.0058, 3, -44.0801, -45.3483, 0, 47.0801
0.39, -52.535, 3, -46.8303, -44.9081, 0, 49.8303
0.4, -52.0642, 3, -49.0559, -44.4574, 2225.65, 52.0559
0.41, -51.5659, 3, -49.0559, -43.9889, 0, 52.0559
0.42, -51.0453, 3, -50.8242, -43.4577, 0, 53.8242
0.43, -50.5248, 3, -52.1835, -42.9733, 0, 53.8242
0.44, -49.9865, 3, -52.1835, -42.4766, 0, 55.1835
0.45, -49.4347, 3, -53.22, -42.0862, 0, 56.22
0.46, -48.8829, 3, -53.22, -41.5802, 0, 56.22
0.47, -48.3207, 3, -53.954, -41.2392, 0, 56.954
0.48, -47.7585, 3, -54.4486, -40.6682, 0, 57.4486
0.49, -47.1889, 3, -54.4486, -40.0937, 0, 57.4486
0.5, -46.6144, 3, -54.7015, -39.5749, 0, 57.7015
0.51, -46.04, 3, -54.7575, -38.9977, 0, 57.7575
0.52, -45.4629, 3, -54.7575, -38.5357, 0, 57.7575
0.53, -44.8854, 3, -54.6439, -37.9589, 0, 57.6439
0.54, -44.3078, 3, -54.3849, -37.4406, 0, 57.3849
0.55, -43.7313, 3, -54.3849, -36.9242, 0, 57.3849
0.56, -43.1575, 3, -54.0014, -36.41, 0, 57.0014
0.57, -42.5837, 3, -53.512, -35.8975, -489.398, 56.512
0.58, -42.0136, 3, -53.512, -35.3889, 0, 56.512
